20000,24,39,43,413,43,41,10,420,415,44,42,414,41,415,591,41,0,40,415,0
30000,60,61,41,418,42,41,25,410,0,0,41,0,44,0,594,41,0,40,412,0
20000,24,39,43,413,43,41,10,420,0,0,42,0,41,0,591,41,0,40,415,0
8000,11,38,43,410,42,43,10,404,140,42,42,416,41,414,1332,40,0,40,412,0
50000,60,32,41,418,42,43,10,420,0,0,42,0,44,0,227,40,0,40,419,0
34000,24,45,41,419,42,43,10,404,0,0,42,0,44,0,775,40,0,40,411,0
18000,60,31,42,416,41,40,1,404,0,0,42,0,41,0,322,40,0,40,412,0
25000,60,35,42,419,41,40,1,414,0,0,42,0,42,0,1311,41,0,40,419,1
8000,11,35,42,417,41,40,10,404,0,0,42,0,44,0,1311,40,0,40,417,0
30000,60,22,43,414,41,40,25,410,962,43,45,427,46,418,1472,40,0,40,415,0
15000,36,26,43,412,42,41,10,412,618,42,42,420,46,416,1342,40,0,40,411,0
50000,60,23,43,412,41,40,10,454,38,44,42,413,42,412,224,40,0,40,417,0
20000,60,27,42,411,41,40,10,431,132,43,42,415,44,412,144,40,0,40,412,0
50000,48,35,43,416,42,44,1,412,612,43,47,418,41,421,1477,40,0,40,410,0
10000,24,47,41,419,43,43,10,414,0,0,42,0,42,0,144,41,0,40,412,1
5000,6,22,42,411,41,40,10,420,0,0,41,0,41,0,734,40,0,40,419,0
30000,60,57,43,417,42,40,1,411,112,42,41,416,42,422,1326,41,0,40,411,0
21000,24,32,43,411,42,40,10,410,692,47,45,419,45,416,1311,41,0,40,415,0
20000,60,35,43,416,42,42,25,410,0,0,42,0,44,0,542,40,0,40,412,0
10000,60,29,42,416,41,40,10,446,0,0,42,0,44,0,1311,41,0,40,412,0
25000,48,23,42,413,41,40,10,420,0,0,42,0,42,0,153,40,0,40,415,0
25000,48,41,43,416,42,42,25,412,0,0,42,0,42,0,153,41,0,40,412,0
50000,60,28,41,413,41,40,25,412,578,43,42,418,44,414,701,40,0,40,411,0
13000,24,29,42,416,41,40,10,412,0,0,42,0,44,0,722,41,0,40,412,0
50000,60,44,41,417,42,41,1,412,620,43,47,422,44,422,1212,40,0,40,414,0
50000,48,54,41,419,43,42,25,417,649,43,42,417,44,418,400,41,0,40,412,0
50000,60,31,43,411,41,40,10,410,719,45,42,415,44,419,485,40,0,40,417,0
15000,48,34,42,413,42,42,10,412,0,0,42,0,41,0,761,41,0,40,412,0
50000,60,42,41,416,42,45,25,410,662,44,42,428,46,420,137,41,0,40,411,0
30000,60,25,41,413,41,40,25,412,0,0,45,0,44,0,137,41,0,40,415,0
12000,36,31,43,411,42,40,25,413,0,0,42,0,44,0,434,40,0,40,412,0
30000,60,35,43,415,41,40,25,420,421,46,45,414,46,413,1472,40,0,42,415,0
50000,60,25,43,411,41,40,10,412,572,43,42,428,46,418,1311,40,0,40,410,0
25000,60,25,41,413,42,42,10,410,0,0,42,0,42,0,83,41,0,40,413,0
30000,60,57,43,417,42,40,1,411,112,42,41,417,42,422,1326,41,0,40,411,0
50000,60,35,42,419,41,40,25,420,420,46,42,417,46,415,383,40,0,40,414,1
50000,60,28,43,413,41,40,10,410,0,0,42,0,47,0,1472,41,0,40,413,0
15000,24,28,42,411,42,42,10,417,0,0,42,0,41,0,1472,41,0,41,411,0
40000,48,51,41,419,42,46,1,404,130,46,42,426,46,422,137,40,0,40,412,0
50000,60,36,43,410,41,43,25,420,0,0,42,0,41,0,466,41,0,42,415,0
15000,36,48,42,416,43,42,10,420,0,0,42,0,46,0,1301,40,0,41,410,0
30000,60,28,43,412,41,40,10,410,0,0,42,0,44,0,137,40,0,40,419,0
25000,48,42,43,418,43,41,10,404,130,46,42,414,44,419,1365,41,0,40,414,0
50000,60,40,44,419,43,42,1,420,456,44,45,417,44,417,400,40,0,40,411,0
50000,36,42,43,414,42,44,25,411,77,42,42,427,46,412,1284,41,0,40,415,0
20000,60,29,43,413,43,42,1,412,594,47,42,414,41,415,153,40,0,40,419,0
25000,60,25,42,411,41,40,10,412,771,43,42,420,42,412,1064,40,0,40,411,0
10000,6,26,43,411,41,40,10,414,0,0,41,0,44,0,1472,40,0,40,419,0
12000,12,47,43,419,42,42,25,420,0,0,42,0,44,0,312,40,0,40,413,0
6000,11,41,43,414,41,40,1,420,426,44,42,412,42,417,153,41,0,40,419,0
35000,24,32,42,411,41,40,10,410,0,0,44,0,43,0,1045,40,0,40,416,0
45000,60,23,41,412,41,40,25,411,136,45,42,412,42,419,1218,41,0,40,416,0
10000,60,56,41,418,42,44,10,414,347,44,42,418,46,420,1305,40,0,40,414,1
15000,24,36,43,413,41,40,1,410,801,43,42,415,45,418,269,40,0,40,412,0
50000,60,49,41,419,43,43,10,412,758,46,42,419,46,422,59,41,0,40,412,0
30000,60,23,42,411,41,40,10,411,0,0,42,0,41,0,1157,40,0,40,419,0
40000,60,38,41,419,42,43,1,420,424,46,42,425,44,420,548,40,0,40,412,0
40000,48,29,43,417,42,41,10,412,69,44,42,420,47,414,1461,40,0,40,412,1
50000,60,49,41,415,42,45,10,410,0,0,42,0,44,0,137,40,0,40,412,0
50000,60,40,41,412,42,43,10,414,362,43,42,428,44,419,590,40,0,40,412,1
25000,60,32,43,413,42,41,10,410,0,0,42,0,44,0,734,41,0,40,419,0
25000,36,37,42,419,41,40,10,411,0,0,49,0,44,0,594,40,0,40,419,0
5000,11,34,43,417,41,40,25,411,0,0,42,0,41,0,1472,40,0,40,416,0
50000,60,34,41,419,42,46,25,410,904,47,42,420,44,421,227,40,0,40,411,0
20000,60,35,41,419,42,43,1,414,0,0,42,0,44,0,466,41,0,40,419,0
30000,60,38,43,418,43,42,25,411,186,43,42,414,42,411,1342,40,0,40,412,0
